match_id,home_team,away_team,home_score,away_score,match_date,season,competition
3857256,Serbia,Switzerland,2,3,2022-12-02,2022,FIFA World Cup
3869151,Argentina,Australia,2,1,2022-12-03,2022,FIFA World Cup
3857257,Australia,Denmark,1,0,2022-11-30,2022,FIFA World Cup
3857258,Brazil,Serbia,2,0,2022-11-24,2022,FIFA World Cup
3857288,Tunisia,Australia,0,1,2022-11-26,2022,FIFA World Cup
3857267,Ecuador,Senegal,1,2,2022-11-29,2022,FIFA World Cup
3869321,Netherlands,Argentina,2,2,2022-12-09,2022,FIFA World Cup
3857287,Uruguay,South Korea,0,0,2022-11-24,2022,FIFA World Cup
3869486,Morocco,Portugal,1,0,2022-12-10,2022,FIFA World Cup
3869685,Argentina,France,3,3,2022-12-18,2022,FIFA World Cup
3857260,Saudi Arabia,Mexico,1,2,2022-11-30,2022,FIFA World Cup
3857264,Poland,Argentina,0,2,2022-11-30,2022,FIFA World Cup
3857266,France,Denmark,2,1,2022-11-26,2022,FIFA World Cup
3857289,Argentina,Mexico,2,0,2022-11-26,2022,FIFA World Cup
3857269,Brazil,Switzerland,1,0,2022-11-28,2022,FIFA World Cup
3857294,Netherlands,Qatar,2,0,2022-11-29,2022,FIFA World Cup
3869254,Portugal,Switzerland,6,1,2022-12-06,2022,FIFA World Cup
3869118,England,Senegal,3,0,2022-12-04,2022,FIFA World Cup
3869684,Croatia,Morocco,2,1,2022-12-17,2022,FIFA World Cup
3869519,Argentina,Croatia,3,0,2022-12-13,2022,FIFA World Cup
3869354,England,France,1,2,2022-12-10,2022,FIFA World Cup
3869552,France,Morocco,2,0,2022-12-14,2022,FIFA World Cup
3869420,Croatia,Brazil,1,1,2022-12-09,2022,FIFA World Cup
3869220,Morocco,Spain,0,0,2022-12-06,2022,FIFA World Cup
3869219,Japan,Croatia,1,1,2022-12-05,2022,FIFA World Cup
3869253,Brazil,South Korea,4,1,2022-12-05,2022,FIFA World Cup
3869152,France,Poland,3,1,2022-12-04,2022,FIFA World Cup
3869117,Netherlands,United States,3,1,2022-12-03,2022,FIFA World Cup
3857270,Portugal,Uruguay,2,0,2022-11-28,2022,FIFA World Cup
3857263,Spain,Germany,1,1,2022-11-27,2022,FIFA World Cup
3857259,Cameroon,Serbia,3,3,2022-11-28,2022,FIFA World Cup
3857295,Japan,Costa Rica,0,1,2022-11-27,2022,FIFA World Cup
3857283,Belgium,Morocco,0,2,2022-11-27,2022,FIFA World Cup
3857284,Germany,Japan,1,2,2022-11-23,2022,FIFA World Cup
3857282,United States,Wales,1,1,2022-11-21,2022,FIFA World Cup
3857286,Qatar,Ecuador,0,2,2022-11-20,2022,FIFA World Cup
3857301,Qatar,Senegal,1,3,2022-11-25,2022,FIFA World Cup
3857300,Argentina,Saudi Arabia,1,2,2022-11-22,2022,FIFA World Cup
3857299,South Korea,Ghana,2,3,2022-11-28,2022,FIFA World Cup
3857298,Portugal,Ghana,3,2,2022-11-24,2022,FIFA World Cup
3857297,Poland,Saudi Arabia,2,0,2022-11-26,2022,FIFA World Cup
3857296,Croatia,Belgium,0,0,2022-12-01,2022,FIFA World Cup
3857293,Ghana,Uruguay,0,2,2022-12-02,2022,FIFA World Cup
3857292,Costa Rica,Germany,2,4,2022-12-01,2022,FIFA World Cup
3857291,Spain,Costa Rica,7,0,2022-11-23,2022,FIFA World Cup
3857290,Switzerland,Cameroon,1,0,2022-11-24,2022,FIFA World Cup
3857285,Senegal,Netherlands,0,2,2022-11-21,2022,FIFA World Cup
3857281,Croatia,Canada,4,1,2022-11-27,2022,FIFA World Cup
3857280,Cameroon,Brazil,1,0,2022-12-02,2022,FIFA World Cup
3857279,France,Australia,4,1,2022-11-22,2022,FIFA World Cup
3857278,Iran,United States,0,1,2022-11-29,2022,FIFA World Cup
3857277,Morocco,Croatia,0,0,2022-11-23,2022,FIFA World Cup
3857276,Canada,Morocco,1,2,2022-12-01,2022,FIFA World Cup
3857275,Tunisia,France,1,0,2022-11-30,2022,FIFA World Cup
3857274,Netherlands,Ecuador,1,1,2022-11-25,2022,FIFA World Cup
3857273,Wales,Iran,0,2,2022-11-25,2022,FIFA World Cup
3857272,England,United States,0,0,2022-11-25,2022,FIFA World Cup
3857271,England,Iran,6,2,2022-11-21,2022,FIFA World Cup
3857268,Belgium,Canada,1,0,2022-11-23,2022,FIFA World Cup
3857265,Mexico,Poland,0,0,2022-11-22,2022,FIFA World Cup
3857262,South Korea,Portugal,2,1,2022-12-02,2022,FIFA World Cup
3857261,Wales,England,0,3,2022-11-29,2022,FIFA World Cup
3857255,Japan,Spain,2,1,2022-12-01,2022,FIFA World Cup
3857254,Denmark,Tunisia,0,0,2022-11-22,2022,FIFA World Cup
